Array,Station,Latitude,Longitude,Depth,Established,Retired
33,HR_N,27.5642,-82.5787,3,5/26/2017,
33,HR_S,27.5549,-82.5898,4.5,5/26/2017,
33,SIC_IN,27.5273,-82.6078,1.8,5/26/2017,
33,SIC_OUT,27.5242,-82.611,2.4,5/26/2017,
33,TCB_IN_N,27.549,-82.6089,2.3,5/26/2017,
33,TCB_IN_S,27.5466,-82.6074,2.1,5/26/2017,
33,TCB_OUT_M,27.546,-82.6192,2.1,5/26/2017,
33,TCB_OUT_N,27.5484,-82.6194,1.7,5/26/2017,
33,TCB_OUT_S,27.5437,-82.6183,2.1,5/26/2017,
33,MB_IN,27.556,-82.6027,1.2,6/9/2017,
33,MB_OUT,27.5594,-82.6049,1.1,6/9/2017,
56,BR_1,27.4978,-82.5247,1.5,10/30/2018,
56,BU_1,27.5234,-82.5114,2.7,10/30/2018,
56,WB_1,27.5073,-82.6079,1.9,10/30/2018,
56,MR_IN_M,27.5291,-82.6407,2.9,10/31/2018,
56,MR_IN_N,27.5312,-82.6399,2.1,10/31/2018,
56,MR_IN_S,27.5274,-82.6406,3.1,10/31/2018,
56,MR_OUT_M,27.5273,-82.6459,4.5,10/31/2018,
56,MR_OUT_N,27.5297,-82.6458,1.6,10/31/2018,
56,MR_OUT_S,27.5252,-82.646,1.8,10/31/2018,
56,SAW_FH,27.5241,-82.4297,2.4,3/27/2019,5/19/2020
56,BR_IN,27.4932,-82.5225,1.2,5/19/2020,
56,HDB_E,27.5048,-82.5584,3.1,11/25/2020,
58,SAW_AB,27.7943,-82.4174,1.8,3/25/2019,
58,SAW_AM,27.53770065,-82.7344,4.5,3/25/2019,
58,SAW_RK,27.5644,-82.6443,4.1,3/25/2019,
58,SAW_CC,27.9737,-82.6132,1.4,4/18/2019,10/28/2019
58,SAW_MD,27.8369,-82.546,2.4,4/18/2019,10/28/2019
58,SAW_LM,27.7312,-82.4918,3,5/18/2020,
58,SAW_CR,27.6926,-82.5307,1.9,5/18/2020,
58,SAW_EP,27.5397,-82.6536,2.6,5/19/2020,
58,SAW_BH,27.5333,-82.6957,2.8,5/19/2020,
