ObjID,Structure_Type,LAT_DD,LONG_DD
IE1,Main ingress/egress,27.521057,-82.666775
IE2,Main ingress/egress,27.498683,-82.660569
IE3,Mosquito ditching,27.520788,-82.668445
IE4,Mosquito ditching,27.52006,-82.670359
IE5,Mosquito ditching,27.515719,-82.676358
IE6,Mosquito ditching,27.510827,-82.674906
IE7,Mosquito ditching,27.507126,-82.672704
CL1,Water logger,27.51551667,-82.66591667
CL2,Water logger,27.51406667,-82.66811667
CL3,Water logger,27.5115,-82.6691
CL4,Water logger,27.50883333,-82.66906667
WL1,Water logger,27.5115,-82.6691
WL2,Water logger,27.51166667,-82.66598333
WL3,Water logger,27.50891667,-82.67011667
WL4,Water logger,27.50615,-82.66798333
WL5,Water logger,27.50883333,-82.66906667
WL6,Water logger,27.51406667,-82.66811667
WL7,Water logger,27.51551667,-82.66591667
AL1,Air logger,27.51513333,-82.66141667
AR1,Acoustic receiver,27.49797222,-82.65878889
AR2,Acoustic receiver,27.508395,-82.668711
AR3,Acoustic receiver,27.51191944,-82.67128889
AR4,Acoustic receiver,27.52241944,-82.6667
AR5,Acoustic receiver,27.52063889,-82.67263056
AR6,Acoustic receiver,27.5151,-82.68443889
AR7,Acoustic receiver,27.50676944,-82.67576944
AR8,Acoustic receiver,27.49458889,-82.66861389
AR9,Acoustic receiver,27.512375,-82.666904
AR10,Acoustic receiver,27.508974,-82.670139
AR11,Acoustic receiver,27.506219,-82.666475
AR12,Acoustic receiver,27.519496,-82.663642
AR13,Acoustic receiver,27.506053,-82.668977
